,NewLat,NewLon,Time Seg,0.0,1.0,2.0,3.0,4.0,5.0,6.0,Analysis Neighborhood
168,37.71,-122.3925,Afternoon,1.0,3.0,1.0,1.0,0.0,0.0,1.0,Bayview Hunters Point
169,37.71,-122.3925,Evening,0.0,1.0,1.0,0.0,0.0,0.0,1.0,Bayview Hunters Point
170,37.71,-122.3925,Morning,0.0,1.0,0.0,0.0,3.0,0.0,0.0,Bayview Hunters Point
171,37.71,-122.39,Afternoon,0.0,5.0,2.0,4.0,3.0,0.0,10.0,Bayview Hunters Point
172,37.71,-122.39,Evening,3.0,3.0,1.0,1.0,2.0,0.0,1.0,Bayview Hunters Point
173,37.71,-122.39,Morning,2.0,2.0,4.0,0.0,2.0,0.0,0.0,Bayview Hunters Point
174,37.71,-122.39,Night,3.0,7.0,0.0,0.0,1.0,0.0,1.0,Bayview Hunters Point
175,37.71,-122.3875,Afternoon,5.0,6.0,1.0,3.0,2.0,0.0,6.0,Bayview Hunters Point
176,37.71,-122.3875,Evening,5.0,15.0,0.0,4.0,1.0,0.0,3.0,Bayview Hunters Point
177,37.71,-122.3875,Morning,0.0,4.0,2.0,5.0,2.0,0.0,4.0,Bayview Hunters Point
178,37.71,-122.3875,Night,7.0,4.0,0.0,5.0,3.0,0.0,1.0,Bayview Hunters Point
179,37.7125,-122.4975,Afternoon,4.0,8.0,6.0,1.0,6.0,1.0,1.0,Lakeshore
180,37.7125,-122.4975,Evening,2.0,8.0,4.0,2.0,3.0,0.0,1.0,Lakeshore
181,37.7125,-122.4975,Morning,9.0,5.0,5.0,3.0,6.0,0.0,0.0,Lakeshore
182,37.7125,-122.4975,Night,2.0,3.0,1.0,0.0,0.0,0.0,0.0,Lakeshore
183,37.7125,-122.485,Afternoon,0.0,5.0,3.0,0.0,0.0,0.0,0.0,Lakeshore
184,37.7125,-122.485,Evening,1.0,2.0,0.0,1.0,0.0,0.0,0.0,Lakeshore
185,37.7125,-122.485,Morning,1.0,3.0,0.0,1.0,0.0,0.0,0.0,Lakeshore
186,37.7125,-122.4725,Afternoon,2.0,1.0,2.0,2.0,4.0,0.0,2.0,Lakeshore
187,37.7125,-122.4725,Evening,1.0,0.0,0.0,2.0,3.0,0.0,2.0,Lakeshore
188,37.7125,-122.4725,Morning,1.0,3.0,1.0,0.0,2.0,0.0,5.0,Lakeshore
189,37.7125,-122.4725,Night,1.0,0.0,2.0,0.0,1.0,0.0,1.0,Lakeshore
190,37.7125,-122.47,Afternoon,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Oceanview/Merced/Ingleside
191,37.7125,-122.47,Evening,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Oceanview/Merced/Ingleside
192,37.7125,-122.47,Morning,1.0,4.0,1.0,0.0,2.0,0.0,0.0,Oceanview/Merced/Ingleside
193,37.7125,-122.47,Night,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Oceanview/Merced/Ingleside
194,37.7125,-122.4675,Evening,6.0,4.0,0.0,2.0,0.0,0.0,0.0,Oceanview/Merced/Ingleside
195,37.7125,-122.4675,Morning,1.0,4.0,0.0,0.0,2.0,0.0,0.0,Oceanview/Merced/Ingleside
196,37.7125,-122.465,Afternoon,0.0,4.0,1.0,2.0,6.0,0.0,1.0,Oceanview/Merced/Ingleside
197,37.7125,-122.465,Evening,1.0,7.0,1.0,2.0,5.0,0.0,1.0,Oceanview/Merced/Ingleside
198,37.7125,-122.465,Morning,0.0,1.0,1.0,0.0,0.0,0.0,2.0,Oceanview/Merced/Ingleside
199,37.7125,-122.465,Night,0.0,1.0,1.0,1.0,0.0,0.0,2.0,Oceanview/Merced/Ingleside
200,37.7125,-122.4625,Afternoon,2.0,11.0,0.0,3.0,7.0,1.0,5.0,Oceanview/Merced/Ingleside
201,37.7125,-122.4625,Evening,4.0,10.0,1.0,1.0,1.0,0.0,3.0,Oceanview/Merced/Ingleside
202,37.7125,-122.4625,Morning,8.0,20.0,2.0,4.0,3.0,1.0,2.0,Oceanview/Merced/Ingleside
203,37.7125,-122.4625,Night,3.0,0.0,2.0,0.0,1.0,0.0,1.0,Oceanview/Merced/Ingleside
204,37.7125,-122.46000000000001,Afternoon,8.0,9.0,2.0,5.0,8.0,0.0,7.0,Oceanview/Merced/Ingleside
205,37.7125,-122.46000000000001,Evening,5.0,8.0,5.0,4.0,5.0,0.0,0.0,Oceanview/Merced/Ingleside
206,37.7125,-122.46000000000001,Morning,1.0,12.0,0.0,0.0,3.0,0.0,3.0,Oceanview/Merced/Ingleside
207,37.7125,-122.46000000000001,Night,6.0,2.0,0.0,5.0,4.0,0.0,1.0,Oceanview/Merced/Ingleside
208,37.7125,-122.455,Afternoon,9.0,10.0,6.0,6.0,17.0,0.0,5.0,Oceanview/Merced/Ingleside
209,37.7125,-122.455,Evening,8.0,14.0,5.0,3.0,8.0,0.0,4.0,Oceanview/Merced/Ingleside
210,37.7125,-122.455,Morning,10.0,20.0,1.0,10.0,9.0,0.0,7.0,Oceanview/Merced/Ingleside
211,37.7125,-122.455,Night,4.0,8.0,2.0,5.0,8.0,0.0,2.0,Oceanview/Merced/Ingleside
212,37.7125,-122.4525,Afternoon,4.0,12.0,1.0,2.0,6.0,0.0,1.0,Outer Mission
213,37.7125,-122.4525,Evening,2.0,9.0,0.0,0.0,8.0,0.0,0.0,Outer Mission
214,37.7125,-122.4525,Morning,11.0,3.0,5.0,3.0,7.0,0.0,5.0,Outer Mission
215,37.7125,-122.4525,Night,2.0,8.0,0.0,4.0,3.0,0.0,0.0,Outer Mission
216,37.7125,-122.45,Afternoon,7.0,19.0,4.0,2.0,4.0,0.0,2.0,Outer Mission
217,37.7125,-122.45,Evening,3.0,6.0,3.0,2.0,6.0,0.0,3.0,Outer Mission
218,37.7125,-122.45,Morning,3.0,12.0,2.0,3.0,4.0,0.0,7.0,Outer Mission
219,37.7125,-122.45,Night,1.0,3.0,2.0,0.0,1.0,0.0,1.0,Outer Mission
